ID;PORTFOLIO_NUMBER;PORTFOLIO_NAME;PORTFOLIO_SHARES;ISIN;COMPANY_NAME;SECTOR_LV1;SECTOR_LV2;WEIGHT_FLAG;WEIGHTING;NAICS_NUM;NAICS_NAME;SCENARIO;ADAPTIVE_CAP;REGION;COUNTRY;TECHNOLOGY;YEAR;EBITDA;EBIT;DEPRECIATION;SALES;VOLUME
1;5;DAX UTF 1C Fond;0.0838160136286201;DE2977430224;Bilbo & Co. KG;31-33 MANUFACTURING;336 - TRANSPORTATION EQUIPMENT MANUFACTURING;ISIN_IMPACT;0.0000387546041764798;336111;Automobile Manufacturing;1.8C;ACHIEVER;Africa;ZA;HYB Luxury/Sports Car;2019;0.0000387546041764798;0.0000387546041764798;0.0000387546041764798;0.0000387546041764798;0.0000406308932575104
2;5;DAX UTF 1C Fond;0.0838160136286201;DE2977430224;Bilbo & Co. KG;31-33 MANUFACTURING;336 - TRANSPORTATION EQUIPMENT MANUFACTURING;ISIN_IMPACT;0.0000387546041764798;336111;Automobile Manufacturing;1.8C;ACHIEVER;Africa;ZA;HYB Luxury/Sports Car;2025;0.0000387546041764798;0.0000387546041764798;0.0000387546041764798;0.0000387546041764798;0.0000406308932575104
3;5;DAX UTF 1C Fond;0.0838160136286201;DE2977430224;Bilbo & Co. KG;31-33 MANUFACTURING;336 - TRANSPORTATION EQUIPMENT MANUFACTURING;ISIN_IMPACT;0.0000387546041764798;336111;Automobile Manufacturing;1.8C;ACHIEVER;Africa;ZA;HYB Luxury/Sports Car;2030;0.0000387546041764798;0.0000387546041764798;0.0000387546041764798;0.0000387546041764798;0.0000406308932575104
4;5;DAX UTF 1C Fond;0.0838160136286201;DE2977430224;Bilbo & Co. KG;31-33 MANUFACTURING;336 - TRANSPORTATION EQUIPMENT MANUFACTURING;ISIN_IMPACT;0.0000387546041764798;336111;Automobile Manufacturing;1.8C;ACHIEVER;Africa;ZA;HYB Luxury/Sports Car;2040;0.0000387546041764798;0.0000387546041764798;0.0000387546041764798;0.0000387546041764798;0.0000406308932575104
5;5;DAX UTF 1C Fond;0.0838160136286201;DE2977430224;Bilbo & Co. KG;31-33 MANUFACTURING;336 - TRANSPORTATION EQUIPMENT MANUFACTURING;ISIN_IMPACT;0.0000387546041764798;336111;Automobile Manufacturing;1.8C;ACHIEVER;Africa;ZA;HYB Luxury/Sports Car;2050;0.0000387546041764798;0.0000387546041764798;0.0000387546041764798;0.0000387546041764798;0.0000406308932575104
6;5;DAX UTF 1C Fond;0.0838160136286201;DE2977430224;Bilbo & Co. KG;31-33 MANUFACTURING;336 - TRANSPORTATION EQUIPMENT MANUFACTURING;ISIN_IMPACT;0.0000387546041764798;336111;Automobile Manufacturing;1.8C;ACHIEVER;Eurasia;RU;HYB Luxury/Sports Car;2019;0.0000387546041764798;0.0000387546041764798;0.0000387546041764798;0.0000387546041764798;0.0000406308932575104
7;5;DAX UTF 1C Fond;0.0838160136286201;DE2977430224;Bilbo & Co. KG;31-33 MANUFACTURING;336 - TRANSPORTATION EQUIPMENT MANUFACTURING;ISIN_IMPACT;0.0000387546041764798;336111;Automobile Manufacturing;1.8C;ACHIEVER;Eurasia;RU;HYB Luxury/Sports Car;2025;0.0000387546041764798;0.0000387546041764798;0.0000387546041764798;0.0000387546041764798;0.0000406308932575104
8;5;DAX UTF 1C Fond;0.0838160136286201;DE2977430224;Bilbo & Co. KG;31-33 MANUFACTURING;336 - TRANSPORTATION EQUIPMENT MANUFACTURING;ISIN_IMPACT;0.0000387546041764798;336111;Automobile Manufacturing;1.8C;ACHIEVER;Eurasia;RU;HYB Luxury/Sports Car;2030;0.0000387546041764798;0.0000387546041764798;0.0000387546041764798;0.0000387546041764798;0.0000406308932575104
9;5;DAX UTF 1C Fond;0.0838160136286201;DE2977430224;Bilbo & Co. KG;31-33 MANUFACTURING;336 - TRANSPORTATION EQUIPMENT MANUFACTURING;ISIN_IMPACT;0.0000387546041764798;336111;Automobile Manufacturing;1.8C;ACHIEVER;Eurasia;RU;HYB Luxury/Sports Car;2040;0.0000387546041764798;0.0000387546041764798;0.0000387546041764798;0.0000387546041764798;0.0000406308932575104
10;5;DAX UTF 1C Fond;0.0838160136286201;DE2977430224;Bilbo & Co. KG;31-33 MANUFACTURING;336 - TRANSPORTATION EQUIPMENT MANUFACTURING;ISIN_IMPACT;0.0000387546041764798;336111;Automobile Manufacturing;1.8C;ACHIEVER;Eurasia;RU;HYB Luxury/Sports Car;2050;0.0000387546041764798;0.0000387546041764798;0.0000387546041764798;0.0000387546041764798;0.0000406308932575104
